Dimensão,Clique
3,"leave, gut, grow"
3,"choice, u, long"
3,"perfectly, work, take"
3,"started, career, internet"
3,"advice, ever, member"
3,"grow, back, behind"
3,"hate, many, done"
3,"college, video, thousand"
3,"shame, losing, career"
3,"grow, long, relationship"
3,"fear, led, life"
3,"probably, whatever, might"
3,"order, there, everything"
3,"dorm, music, time"
3,"fear, lesson, scar"
3,"career, losing, tell"
3,"tonight, best, thank"
3,"update, friend, school"
3,"stadium, last, reputation"
3,"nothing, easy, 9"
3,"table, make, adult"
3,"choice, school, people"
3,"great, 1, date"
3,"susan, way, feel"
3,"little, body, lesson"
3,"bill, board, many"
3,"last, lyric, dancing"
3,"started, someone, 12"
3,"started, someone, got"
3,"show, lyric, love"
3,"thinly, million, time"
3,"go, pop, might"
3,"advice, year, music"
3,"anything, looking, get"
3,"car, way, sound"
3,"car, way, fight"
3,"picture, girl, look"
3,"bully, ex, maybe"
3,"warning, time, music"
3,"artist, miserable, tonight"
3,"warning, society, constantly"
3,"there, call, person"
3,"trouble, new, lot"
3,"whatever, forget, helped"
3,"tour, didnt, reality"
3,"award, relationship, game"
3,"tour, new, 2015"
3,"cant, situation, later"
3,"cant, perfect, ex"
3,"tour, sound, know"
3,"future, u, get"
3,"future, perspective, loved"
3,"million, safe, 30"
3,"year, music, teen"
3,"order, artist, goal"
3,"go, laugh, disarming"
3,"leave, new, lot"
3,"grow, learn, important"
3,"manchester, 2015, vega"
3,"worked, hard, today"
3,"hang, told, even"
3,"cant, video, college"
3,"lot, new, 1"
3,"cant, body, video"
3,"tour, went, love"
3,"think, didnt, —"
3,"experience, normal, trial"
3,"tonight, help, really"
3,"fantasy, music, got"
3,"internet, scar, lesson"
3,"internet, scar, led"
3,"guess, ’, whatever"
3,"hope, especially, proud"
3,"internet, many, relationship"
3,"social, also, anyone"
3,"failure, normal, idea"
3,"everyone, wrong, lesson"
3,"call, together, lesson"
3,"drunk, 2, got"
3,"fact, social, internet"
3,"go, new, girl"
3,"mom, everything, thank"
3,"upon, know, ive"
3,"lonely, best, would"
3,"take, many, risk"
3,"ultraviolet, fight, see"
3,"brain, im, excuse"
3,"absolutely, someone, young"
3,"proportion, thing, culture"
3,"internet, social, lesson"
3,"everyone, time, person"
3,"take, incredible, really"
3,"may, grow, america"
3,"hair, u, year"
3,"case, doctor, hope"
3,"fighting, reason, there"
3,"may, get, trying"
3,"ever, board, member"
3,"speech, 1, want"
3,"experience, global, still"
3,"tour, 2015, reputation"
3,"taught, could, teen"
3,"song, writing, video"
3,"started, song, unless"
3,"thats, maybe, —"
3,"found, new, lot"
3,"like, needed, proud"
3,"especially, twenty, year"
3,"youll, behind, reason"
3,"fantasy, college, got"
3,"mistake, chance, trying"
3,"constantly, message, person"
3,"taught, life, family"
3,"started, school, public"
3,"song, needed, felt"
3,"mom, made, car"
3,"hear, hook, sometimes"
3,"theyve, coming, conversation"
3,"experience, public, someone"
3,"room, id, new"
3,"losing, wine, im"
3,"please, term, might"
3,"experience, global, know"
3,"write, oftentimes, there"
3,"getting, game, life"
3,"constantly, message, music"
4,"last, taylor, many, time"
4,"hair, lesson, learned, mean"
4,"picture, dont, isnt, real"
4,"like, message, voice, u"
4,"last, life, know, exactly"
4,"like, sound, really, went"
4,"found, wanted, always, twenty"
4,"leave, thing, grow, sometimes"
4,"hey, dont, night, face"
4,"last, got, thank, know"
4,"hair, lesson, little, mean"
4,"like, message, would, loud"
4,"picture, dont, want, acceptance"
4,"age, part, life, feel"
4,"found, twenty, lesson, always"
4,"cathartic, one, person, making"
4,"apology, u, learn, maybe"
4,"think, didnt, feel, people"
4,"especially, part, life, much"
4,"especially, part, life, really"
4,"especially, part, new, proud"
4,"think, hurt, didnt, really"
4,"12, life, lesson, turn"
4,"12, life, song, love"
4,"may, relationship, get, way"
4,"think, didnt, feel, really"
4,"may, relationship, get, sometimes"
4,"may, feel, way, young"
4,"may, feel, sometimes, time"
